log_id,job_name,run_timestamp,status,message
55,churn_calc,2025-05-04T02:39:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-04T02:39:06.111680.
56,daily_load,2025-05-14T11:24:06.111680,FAILURE,Error in daily_load: deadlock detected encountered.
57,daily_load,2025-04-30T01:46:06.111680,SUCCESS,Job daily_load completed successfully at 2025-04-30T01:46:06.111680.
58,data_cleanup,2025-05-12T02:59:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-12T02:59:06.111680.
59,anomaly_detection,2025-04-30T23:13:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-04-30T23:13:06.111680.
60,backup,2025-05-27T12:54:06.111680,SUCCESS,Job backup completed successfully at 2025-05-27T12:54:06.111680.
61,data_cleanup,2025-05-02T04:41:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-02T04:41:06.111680.
62,enrichment,2025-05-15T22:42:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-15T22:42:06.111680.
63,daily_load,2025-05-07T19:23:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-07T19:23:06.111680.
64,enrichment,2025-05-04T21:12:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-04T21:12:06.111680.
65,anomaly_detection,2025-05-25T23:45:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-25T23:45:06.111680.
66,reporting,2025-05-14T01:57:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-14T01:57:06.111680.
67,enrichment,2025-05-03T05:02:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-03T05:02:06.111680.
68,churn_calc,2025-05-03T15:28:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-03T15:28:06.111680.
69,backup,2025-05-04T12:54:06.111680,FAILURE,Error in backup: Connection refused encountered.
70,reporting,2025-05-10T12:47:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-10T12:47:06.111680.
71,enrichment,2025-05-10T18:17:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-10T18:17:06.111680.
72,data_cleanup,2025-05-29T04:11:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-29T04:11:06.111680.
73,daily_load,2025-05-29T03:26:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-29T03:26:06.111680.
74,daily_load,2025-05-01T12:14:06.111680,FAILURE,Error in daily_load: AuthFailure encountered.
75,enrichment,2025-05-20T12:58:06.111680,FAILURE,Error in enrichment: AuthFailure encountered.
76,reporting,2025-05-03T08:55:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-03T08:55:06.111680.
77,backup,2025-05-27T04:41:06.111680,SUCCESS,Job backup completed successfully at 2025-05-27T04:41:06.111680.
78,aggregate_sales,2025-04-29T07:54:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-04-29T07:54:06.111680.
79,daily_load,2025-05-08T19:43:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-08T19:43:06.111680.
80,churn_calc,2025-04-29T15:15:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-04-29T15:15:06.111680.
81,backup,2025-05-10T01:24:06.111680,SUCCESS,Job backup completed successfully at 2025-05-10T01:24:06.111680.
82,data_cleanup,2025-05-12T05:37:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-12T05:37:06.111680.
83,aggregate_sales,2025-05-21T00:39:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-21T00:39:06.111680.
84,enrichment,2025-04-30T23:07:06.111680,SUCCESS,Job enrichment completed successfully at 2025-04-30T23:07:06.111680.
85,churn_calc,2025-05-08T13:42:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-08T13:42:06.111680.
86,reporting,2025-05-04T20:09:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-04T20:09:06.111680.
87,backup,2025-05-19T13:56:06.111680,FAILURE,Error in backup: API response code 500 encountered.
88,aggregate_sales,2025-05-09T12:52:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-09T12:52:06.111680.
89,enrichment,2025-05-26T08:17:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-26T08:17:06.111680.
90,aggregate_sales,2025-05-24T15:31:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-24T15:31:06.111680.
91,enrichment,2025-05-16T10:36:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-16T10:36:06.111680.
92,backup,2025-05-14T16:01:06.111680,SUCCESS,Job backup completed successfully at 2025-05-14T16:01:06.111680.
93,data_cleanup,2025-05-05T06:10:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-05T06:10:06.111680.
94,enrichment,2025-05-16T12:05:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-16T12:05:06.111680.
95,enrichment,2025-05-28T04:53:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-28T04:53:06.111680.
96,daily_load,2025-05-05T07:29:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-05T07:29:06.111680.
97,data_cleanup,2025-05-27T07:00:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-27T07:00:06.111680.
98,aggregate_sales,2025-05-04T21:23:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-04T21:23:06.111680.
99,churn_calc,2025-05-07T15:20:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-07T15:20:06.111680.
100,aggregate_sales,2025-05-13T21:57:06.111680,FAILURE,Error in aggregate_sales: Connection refused encountered.
101,anomaly_detection,2025-05-17T18:08:06.111680,FAILURE,Error in anomaly_detection: permission denied encountered.
102,aggregate_sales,2025-05-28T09:32:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-28T09:32:06.111680.
103,churn_calc,2025-05-21T21:53:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-21T21:53:06.111680.
104,reporting,2025-04-29T20:48:06.111680,SUCCESS,Job reporting completed successfully at 2025-04-29T20:48:06.111680.
105,daily_load,2025-05-26T00:39:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-26T00:39:06.111680.
106,anomaly_detection,2025-05-13T15:48:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-13T15:48:06.111680.
107,backup,2025-05-13T08:42:06.111680,SUCCESS,Job backup completed successfully at 2025-05-13T08:42:06.111680.
108,reporting,2025-05-01T09:23:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-01T09:23:06.111680.
109,daily_load,2025-05-14T15:42:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-14T15:42:06.111680.
110,backup,2025-05-13T20:38:06.111680,SUCCESS,Job backup completed successfully at 2025-05-13T20:38:06.111680.
111,aggregate_sales,2025-05-14T03:08:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-14T03:08:06.111680.
112,reporting,2025-05-02T04:08:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-02T04:08:06.111680.
113,backup,2025-05-25T11:37:06.111680,SUCCESS,Job backup completed successfully at 2025-05-25T11:37:06.111680.
114,enrichment,2025-05-12T13:34:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-12T13:34:06.111680.
115,reporting,2025-05-03T22:53:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-03T22:53:06.111680.
116,data_cleanup,2025-05-28T09:38:06.111680,FAILURE,Error in data_cleanup: AuthFailure encountered.
117,reporting,2025-05-28T06:25:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-28T06:25:06.111680.
118,anomaly_detection,2025-05-24T05:20:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-24T05:20:06.111680.
119,data_cleanup,2025-05-22T18:12:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-22T18:12:06.111680.
120,anomaly_detection,2025-05-17T05:09:06.111680,FAILURE,Error in anomaly_detection: timeout encountered.
121,enrichment,2025-05-23T01:20:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-23T01:20:06.111680.
122,churn_calc,2025-05-14T22:41:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-14T22:41:06.111680.
123,reporting,2025-05-18T16:49:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-18T16:49:06.111680.
124,daily_load,2025-05-16T03:27:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-16T03:27:06.111680.
125,churn_calc,2025-04-30T14:16:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-04-30T14:16:06.111680.
126,aggregate_sales,2025-05-08T13:45:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-08T13:45:06.111680.
127,reporting,2025-05-08T01:34:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-08T01:34:06.111680.
128,churn_calc,2025-05-14T05:28:06.111680,FAILURE,Error in churn_calc: SyntaxError encountered.
129,reporting,2025-05-19T05:12:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-19T05:12:06.111680.
130,backup,2025-05-05T21:51:06.111680,SUCCESS,Job backup completed successfully at 2025-05-05T21:51:06.111680.
131,anomaly_detection,2025-05-03T15:56:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-03T15:56:06.111680.
132,backup,2025-05-18T09:43:06.111680,SUCCESS,Job backup completed successfully at 2025-05-18T09:43:06.111680.
133,churn_calc,2025-05-27T01:18:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-27T01:18:06.111680.
134,anomaly_detection,2025-05-23T09:39:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-23T09:39:06.111680.
135,backup,2025-04-30T01:19:06.111680,SUCCESS,Job backup completed successfully at 2025-04-30T01:19:06.111680.
136,churn_calc,2025-05-04T17:04:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-04T17:04:06.111680.
137,anomaly_detection,2025-05-13T03:59:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-13T03:59:06.111680.
138,backup,2025-05-16T08:11:06.111680,SUCCESS,Job backup completed successfully at 2025-05-16T08:11:06.111680.
139,anomaly_detection,2025-05-19T05:36:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-19T05:36:06.111680.
140,churn_calc,2025-05-19T17:52:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-19T17:52:06.111680.
141,churn_calc,2025-05-27T05:43:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-27T05:43:06.111680.
142,data_cleanup,2025-05-25T22:47:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-25T22:47:06.111680.
143,daily_load,2025-05-16T09:33:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-16T09:33:06.111680.
144,anomaly_detection,2025-04-29T14:45:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-04-29T14:45:06.111680.
145,enrichment,2025-05-28T08:35:06.111680,FAILURE,Error in enrichment: permission denied encountered.
146,daily_load,2025-05-11T00:54:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-11T00:54:06.111680.
147,aggregate_sales,2025-05-16T05:00:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-16T05:00:06.111680.
148,reporting,2025-05-08T09:43:06.111680,FAILURE,Error in reporting: parse error encountered.
149,data_cleanup,2025-05-02T19:48:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-02T19:48:06.111680.
150,reporting,2025-05-25T13:23:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-25T13:23:06.111680.
151,reporting,2025-05-23T13:58:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-23T13:58:06.111680.
152,backup,2025-05-03T20:54:06.111680,SUCCESS,Job backup completed successfully at 2025-05-03T20:54:06.111680.
153,data_cleanup,2025-05-11T09:19:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-11T09:19:06.111680.
154,daily_load,2025-05-07T04:43:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-07T04:43:06.111680.
155,daily_load,2025-05-20T18:50:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-20T18:50:06.111680.
156,reporting,2025-05-13T14:34:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-13T14:34:06.111680.
157,churn_calc,2025-05-04T20:10:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-04T20:10:06.111680.
158,aggregate_sales,2025-05-20T21:05:06.111680,FAILURE,Error in aggregate_sales: out of memory encountered.
159,enrichment,2025-05-23T19:40:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-23T19:40:06.111680.
160,anomaly_detection,2025-04-29T20:49:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-04-29T20:49:06.111680.
161,daily_load,2025-05-04T22:15:06.111680,FAILURE,Error in daily_load: API response code 500 encountered.
162,anomaly_detection,2025-05-24T21:01:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-24T21:01:06.111680.
163,reporting,2025-05-12T22:43:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-12T22:43:06.111680.
164,churn_calc,2025-05-07T18:55:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-07T18:55:06.111680.
165,backup,2025-05-20T00:50:06.111680,SUCCESS,Job backup completed successfully at 2025-05-20T00:50:06.111680.
166,churn_calc,2025-05-28T18:10:06.111680,FAILURE,Error in churn_calc: permission denied encountered.
167,aggregate_sales,2025-05-09T10:53:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-09T10:53:06.111680.
168,backup,2025-05-10T02:48:06.111680,SUCCESS,Job backup completed successfully at 2025-05-10T02:48:06.111680.
169,anomaly_detection,2025-05-25T21:53:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-25T21:53:06.111680.
170,enrichment,2025-05-04T10:41:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-04T10:41:06.111680.
171,anomaly_detection,2025-05-19T01:09:06.111680,FAILURE,Error in anomaly_detection: SyntaxError encountered.
172,enrichment,2025-05-03T14:26:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-03T14:26:06.111680.
173,enrichment,2025-05-18T13:42:06.111680,FAILURE,Error in enrichment: FileNotFoundError encountered.
174,reporting,2025-05-27T00:52:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-27T00:52:06.111680.
175,churn_calc,2025-05-23T23:18:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-23T23:18:06.111680.
176,churn_calc,2025-05-03T08:24:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-03T08:24:06.111680.
177,data_cleanup,2025-05-15T11:09:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-15T11:09:06.111680.
178,aggregate_sales,2025-05-02T10:08:06.111680,FAILURE,Error in aggregate_sales: disk full encountered.
179,data_cleanup,2025-05-23T06:37:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-23T06:37:06.111680.
180,aggregate_sales,2025-05-20T12:48:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-20T12:48:06.111680.
181,daily_load,2025-05-05T06:43:06.111680,FAILURE,Error in daily_load: SyntaxError encountered.
182,anomaly_detection,2025-05-06T06:05:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-06T06:05:06.111680.
183,churn_calc,2025-05-04T08:46:06.111680,FAILURE,Error in churn_calc: NullPointerException encountered.
184,backup,2025-05-07T16:54:06.111680,SUCCESS,Job backup completed successfully at 2025-05-07T16:54:06.111680.
185,enrichment,2025-05-17T02:43:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-17T02:43:06.111680.
186,data_cleanup,2025-05-12T23:44:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-12T23:44:06.111680.
187,daily_load,2025-05-04T12:44:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-04T12:44:06.111680.
188,data_cleanup,2025-05-09T23:43:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-09T23:43:06.111680.
189,backup,2025-05-15T12:17:06.111680,FAILURE,Error in backup: API response code 500 encountered.
190,data_cleanup,2025-05-16T23:57:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-16T23:57:06.111680.
191,aggregate_sales,2025-05-07T09:47:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-07T09:47:06.111680.
192,aggregate_sales,2025-05-19T20:41:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-19T20:41:06.111680.
193,reporting,2025-05-27T08:52:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-27T08:52:06.111680.
194,enrichment,2025-05-25T12:16:06.111680,FAILURE,Error in enrichment: NullPointerException encountered.
195,reporting,2025-04-29T23:04:06.111680,SUCCESS,Job reporting completed successfully at 2025-04-29T23:04:06.111680.
196,reporting,2025-05-06T01:16:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-06T01:16:06.111680.
197,reporting,2025-05-21T08:40:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-21T08:40:06.111680.
198,backup,2025-05-01T10:38:06.111680,SUCCESS,Job backup completed successfully at 2025-05-01T10:38:06.111680.
199,enrichment,2025-05-24T00:25:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-24T00:25:06.111680.
200,data_cleanup,2025-05-10T22:30:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-10T22:30:06.111680.
201,enrichment,2025-05-26T02:55:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-26T02:55:06.111680.
202,reporting,2025-05-22T07:47:06.111680,SUCCESS,Job reporting completed successfully at 2025-05-22T07:47:06.111680.
203,data_cleanup,2025-05-20T23:19:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-20T23:19:06.111680.
204,churn_calc,2025-04-29T10:33:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-04-29T10:33:06.111680.
205,enrichment,2025-05-08T13:06:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-08T13:06:06.111680.
206,data_cleanup,2025-05-19T01:02:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-19T01:02:06.111680.
207,churn_calc,2025-05-11T15:06:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-11T15:06:06.111680.
208,churn_calc,2025-05-25T09:37:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-25T09:37:06.111680.
209,enrichment,2025-05-12T16:24:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-12T16:24:06.111680.
210,enrichment,2025-05-18T00:27:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-18T00:27:06.111680.
211,daily_load,2025-05-07T10:51:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-07T10:51:06.111680.
212,churn_calc,2025-05-02T20:01:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-02T20:01:06.111680.
213,daily_load,2025-05-14T21:59:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-14T21:59:06.111680.
214,backup,2025-05-04T04:24:06.111680,FAILURE,Error in backup: NullPointerException encountered.
215,churn_calc,2025-05-02T16:18:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-02T16:18:06.111680.
216,aggregate_sales,2025-05-04T15:54:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-04T15:54:06.111680.
217,daily_load,2025-05-02T16:17:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-02T16:17:06.111680.
218,anomaly_detection,2025-04-29T08:26:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-04-29T08:26:06.111680.
219,anomaly_detection,2025-05-14T02:57:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-14T02:57:06.111680.
220,backup,2025-05-21T10:50:06.111680,SUCCESS,Job backup completed successfully at 2025-05-21T10:50:06.111680.
221,aggregate_sales,2025-05-06T22:07:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-06T22:07:06.111680.
222,enrichment,2025-05-07T13:22:06.111680,SUCCESS,Job enrichment completed successfully at 2025-05-07T13:22:06.111680.
223,data_cleanup,2025-05-21T15:16:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-21T15:16:06.111680.
224,churn_calc,2025-05-17T04:53:06.111680,SUCCESS,Job churn_calc completed successfully at 2025-05-17T04:53:06.111680.
225,aggregate_sales,2025-05-27T15:36:06.111680,SUCCESS,Job aggregate_sales completed successfully at 2025-05-27T15:36:06.111680.
226,aggregate_sales,2025-05-27T19:21:06.111680,FAILURE,Error in aggregate_sales: timeout encountered.
227,backup,2025-05-17T09:52:06.111680,SUCCESS,Job backup completed successfully at 2025-05-17T09:52:06.111680.
228,anomaly_detection,2025-05-03T13:34:06.111680,FAILURE,Error in anomaly_detection: AuthFailure encountered.
229,data_cleanup,2025-05-21T18:22:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-21T18:22:06.111680.
230,data_cleanup,2025-05-20T17:49:06.111680,SUCCESS,Job data_cleanup completed successfully at 2025-05-20T17:49:06.111680.
231,daily_load,2025-05-20T06:14:06.111680,FAILURE,Error in daily_load: API response code 500 encountered.
232,daily_load,2025-05-10T11:44:06.111680,FAILURE,Error in daily_load: deadlock detected encountered.
233,anomaly_detection,2025-05-01T03:55:06.111680,SUCCESS,Job anomaly_detection completed successfully at 2025-05-01T03:55:06.111680.
234,backup,2025-05-14T21:55:06.111680,SUCCESS,Job backup completed successfully at 2025-05-14T21:55:06.111680.
235,daily_load,2025-05-01T06:45:06.111680,SUCCESS,Job daily_load completed successfully at 2025-05-01T06:45:06.111680.
